"","term","grammar_category","polarity","polarity_target","polarity_classification"
"1774","crivel","Adj",1,"N0","MAN"
"1775","cromo","Adj",-1,"N0","MAN"
"1776","cronico","Adj",0,"N0","JALC"
"1777","cru","Adj",-1,"N0","MAN"
"1778","crucial","Adj",0,"N0","JALC"
"1779","crucificador","Adj",-1,"N0","MAN"
"1780","crucificar","V",1,"N0:N1","MAN"
"1781","cruel","Adj",-1,"N0","MAN"
"1782","crueldade ","N",-1,"N0","MAN"
"1783","crueza","N",-1,"N0","MAN"
"1784","cruzar os bracos","IDIOM",-1,"N0","MAN"
"1785","cuidado","Adj",1,"N0","MAN"
"1786","cuidadoso","Adj",1,"N0","MAN"
"1787","culpa","N",-1,"N0","MAN"
"1788","culpabilizar","V",0,"N0:N1","MAN"
"1789","culpado","Adj",-1,"N0","JALC"
"1790","culpar","V",0,"N0:N1","MAN"
"1791","culpas","N",-1,"N0","MAN"
"1792","culposo","Adj",-1,"N0","JALC"
"1793","cultivado","Adj",1,"N0","MAN"
"1794","culto","Adj",1,"N0","MAN"
"1795","cultura democratica","N",1,"N0","MAN"
"1796","cumplice","Adj",0,"N0","MAN"
"1797","cumpridor","Adj",1,"N0","MAN"
"1798","curado","Adj",1,"N0","JALC"
"1799","curativo","Adj",0,"N0","JALC"
"1800","curial","Adj",1,"N0","JALC"
"1801","curioso","Adj",0,"N0","MAN"
"1802","curtido","Adj",1,"N0","MAN"
"1803","curto de vistas","Adj",-1,"N0","MAN"
"1804","curto","Adj",0,"N0","JALC"
"1805","curvado","Adj",-1,"N0","MAN"
"1806","curvar-se","V",-1,"N0:N1","MAN"
"1807","curvilineo","Adj",-1,"N0","JALC"
"1808","curvo","Adj",-1,"N0","MAN"
"1809","cuspido","Adj",-1,"N0","JALC"
"1810","custoso","Adj",0,"N0","JALC"
"1811","dadivoso","Adj",1,"N0","MAN"
"1812","dado","Adj",0,"N0","MAN"
"1813","daltonico","Adj",-1,"N0","MAN"
"1814","danado","Adj",-1,"N0","MAN"
"1815","danificado","Adj",-1,"N0","JALC"
"1816","danoso","Adj",-1,"N0","JALC"
"1817","dar a lingua","IDIOM",-1,"N0","MAN"
"1818","dar a sola","IDIOM",-1,"N0","MAN"
"1819","dar a soleta","IDIOM",-1,"N0","MAN"
"1820","dar a volta ao miolo","IDIOM",-1,"N0","MAN"
"1821","dar alegrias a","IDIOM",1,"N0:N1","MAN"
"1822","dar ao pe","IDIOM",-1,"N0","MAN"
"1823","dar bandeira","IDIOM",-1,"N0","MAN"
"1824","dar barraca","IDIOM",-1,"N0","MAN"
"1825","dar cabo da vida a","IDIOM",-1,"N0:N1","MAN"
"1826","dar cabo de","IDIOM",1,"N0:N1","MAN"
"1827","dar com a boca no trombone","IDIOM",-1,"N0","MAN"
"1828","dar com a lingua nos dentes","IDIOM",-1,"N0","MAN"
"1829","dar com os burros na agua","IDIOM",-1,"N0","MAN"
"1830","dar com os pes a","IDIOM",-1,"N0:N1","MAN"
"1831","dar conta do recado","IDIOM",1,"N0","MAN"
"1832","dar de frosques","IDIOM",-1,"N0","MAN"
"1833","dar graxa a","IDIOM",-1,"N0:N1","MAN"
"1834","dar no duro","IDIOM",1,"N0","MAN"
"1835","dar o corpo ao manifesto","IDIOM",-1,"N0","MAN"
"1836","dar o dito por nao dito","IDIOM",-1,"N0","MAN"
"1837","dar o golpe a","IDIOM",-1,"N0:N1","MAN"
"1838","dar o golpe do bau","IDIOM",-1,"N0","MAN"
"1839","dar o litro","IDIOM",1,"N0","MAN"
"1840","dar o primeiro passo","IDIOM",1,"N0","MAN"
"1841","dar palmadinhas nas costas a","IDIOM",-1,"N0:N1","MAN"
"1842","dar pontapes na gramatica","IDIOM",-1,"N0","MAN"
"1843","dar tiros nos pes","IDIOM",-1,"N0","MAN"
"1844","dar um baile a","IDIOM",1,"N0:N1","MAN"
"1845","dar um banho a","IDIOM",1,"N0:N1","MAN"
"1846","dar um banho de cultura a","IDIOM",1,"N0:N1","MAN"
"1847","dar um pontape no cu a","IDIOM",-1,"N0:N1","MAN"
"1848","dar um show de bola","IDIOM",1,"N0","MAN"
"1849","dar um tiro no pe","IDIOM",-1,"N0","MAN"
"1850","dar uma banhada a","IDIOM",1,"N0:N1","MAN"
"1851","dar uma coca a","IDIOM",1,"N0:N1","MAN"
"1852","dar uma licao a","IDIOM",1,"N0:N1","MAN"
"1853","dar uma licao de moral a","IDIOM",1,"N0:N1","MAN"
"1854","dar uma malha a","IDIOM",1,"N0:N1","MAN"
"1855","dar uma maozinha a","IDIOM",1,"N0:N1","MAN"
"1856","dar uma no cravo e outra na ferradura","IDIOM",-1,"N0","MAN"
"1857","dar uma surra a","IDIOM",1,"N0:N1","MAN"
"1858","dar voltas no caixao","IDIOM",-1,"N0","MAN"
"1859","dardejante","Adj",0,"N0","MAN"
"1860","davida","N",1,"N0","MAN"
"1861","deambulacao","N",-1,"N0","MAN"
"1862","deambulante","Adj",-1,"N0","MAN"
"1863","deambular","V",-1,"N0","MAN"
"1864","debandado","Adj",-1,"N0","JALC"
"1865","debil","Adj",-1,"N0","MAN"
"1866","debilidade","N",-1,"N0","MAN"
"1867","debilitacao","N",-1,"N0","MAN"
"1868","debilitado","Adj",-1,"N0","MAN"
"1869","debilitar","V",1,"N0:N1","MAN"
"1870","debochado","Adj",-1,"N0","MAN"
"1871","deboche","N",-1,"N0","MAN"
"1872","decadencia","N",-1,"N0","MAN"
"1873","decadente","Adj",-1,"N0","MAN"
"1874","decadentista","Adj",-1,"N0","MAN"
"1875","decaido","Adj",-1,"N0","MAN"
"1876","decapitar","V",1,"N0:N1","MAN"
"1877","decencia","N",1,"N0","MAN"
"1878","decente","Adj",1,"N0","MAN"
"1879","decepado","Adj",-1,"N0","JALC"
"1880","decepar","V",1,"N0:N1","MAN"
"1881","decepcao","N",-1,"N0","MAN"
"1882","decepcionado","Adj",-1,"N0","JALC"
"1883","decepcionante","Adj",-1,"N0","MAN"
"1884","decepcionar","V",-1,"N0:N1","MAN"
"1885","decidido","Adj",1,"N0","MAN"
"1886","decisivo","Adj",0,"N0","JALC"
"1887","decoro","N",1,"N0","MAN"
"1888","decoroso","Adj",1,"N0","MAN"
"1889","decrepidez","N",-1,"N0","MAN"
"1890","decrepito","Adj",-1,"N0","MAN"
"1891","dedicacao","N",1,"N0","MAN"
"1892","dedicado","Adj",1,"N0","MAN"
"1893","defeituoso","Adj",-1,"N0","MAN"
"1894","defensiva","N",-1,"N0","MAN"
"1895","defensor","Adj",1,"N0","JALC"
"1896","deferente","Adj",1,"N0","MAN"
"1897","deferido","Adj",1,"N0","JALC"
"1898","defesso","Adj",-1,"N0","MAN"
"1899","deficiente","Adj",-1,"N0","JALC"
"1900","definhado","Adj",-1,"N0","MAN"
"1901","definhamento","N",-1,"N0","MAN"
"1902","deformacao","N",-1,"N0","MAN"
"1903","deformado","Adj",-1,"N0","MAN"
"1904","defraudar as expectativas de","IDIOM",-1,"N0:N1","MAN"
"1905","defraudar","V",-1,"N0:N1","MAN"
"1906","defunto","Adj",-1,"N0","JALC"
"1907","degenerado","Adj",-1,"N0","MAN"
"1908","degradado","Adj",-1,"N0","JALC"
"1909","degradante","Adj",-1,"N0","MAN"
"1910","degredado","Adj",-1,"N0","MAN"
"1911","degredo","N",-1,"N0","MAN"
"1912","deicida","Adj",-1,"N0","MAN"
"1913","deitar achas na fogueira","IDIOM",-1,"N0","MAN"
"1914","deitar agua na fervura","IDIOM",1,"N0","MAN"
"1915","deitar as unhas a","IDIOM",-1,"N0","MAN"
"1916","deitar foguetes antes da festa","IDIOM",-1,"N0","MAN"
"1917","deitar lenha na fogueira","IDIOM",-1,"N0","MAN"
"1918","deitar poeira aos olhos a","IDIOM",-1,"N0:N1","MAN"
"1919","deitar poeira para os olhos de","IDIOM",-1,"N0:N1","MAN"
"1920","deitar tudo a perder","IDIOM",-1,"N0","MAN"
"1921","deitar tudo para tras das costas","IDIOM",-1,"N0","MAN"
"1922","deitar tudo por agua abaixo","IDIOM",-1,"N0","MAN"
"1923","deixar com as calcas na mao","IDIOM",-1,"N0:N1","MAN"
"1924","deixar com as maos a abanar","IDIOM",-1,"N0:N1","MAN"
"1925","deixar de rastos","IDIOM",-1,"N0:N1","MAN"
"1926","deixar muito a desejar","IDIOM",-1,"N0","MAN"
"1927","deixar o barco a deriva","IDIOM",-1,"N0","MAN"
"1928","deixar o pais de tanga","IDIOM",-1,"N0","MAN"
"1929","deixar tudo para depois","IDIOM",-1,"N0","MAN"
"1930","deixar-se levar","IDIOM",-1,"N0","MAN"
"1931","delambido","Adj",-1,"N0","MAN"
"1932","deleitoso","Adj",1,"N0","JALC"
"1933","deleterio","Adj",-1,"N0","JALC"
"1934","delgado","Adj",0,"N0","MAN"
"1935","delicadeza","N",1,"N0","MAN"
"1936","delicado","Adj",1,"N0","MAN"
"1937","delicioso","Adj",1,"N0","MAN"
"1938","delinquencia","N",-1,"N0","MAN"
"1939","delinquente","Adj",-1,"N0","MAN"
"1940","delirar","V",-1,"N0","MAN"
"1941","delituoso","Adj",-1,"N0","MAN"
"1942","demagogia","N",-1,"N0","MAN"
"1943","demagogico","Adj",-1,"N0","MAN"
"1944","demagogo","Adj",-1,"N0","MAN"
"1945","demarcado","Adj",-1,"N0","JALC"
"1946","demencia","N",-1,"N0","MAN"
"1947","demente","Adj",-1,"N0","MAN"
"1948","demerito","Adj",-1,"N0","JALC"
"1949","demitido","Adj",-1,"N0","JALC"
"1950","democracia","N",1,"N0","MAN"
"1951","democrata","Adj",0,"N0","MAN"
"1952","democraticidade","N",1,"N0","MAN"
"1953","democratico","Adj",1,"N0","MAN"
"1954","demode","Adj",-1,"N0","JALC"
"1955","demolidor","Adj",-1,"N0","JALC"
"1956","demoniaco","Adj",-1,"N0","MAN"
"1957","demorado","Adj",-1,"N0","MAN"
"1958","denegrido","Adj",-1,"N0","MAN"
"1959","denegrir a imagem de","IDIOM",0,"N0:N1","MAN"
"1960","denegrir a sua imagem","IDIOM",-1,"N0","MAN"
"1961","denegrir","V",0,"N0:N1","MAN"
"1962","dengoso","Adj",-1,"N0","MAN"
"1963","denodado","Adj",1,"N0","JALC"
"1964","depauperado","Adj",-1,"N0","JALC"
"1965","depenado","Adj",-1,"N0","MAN"
"1966","dependurado","Adj",-1,"N0","JALC"
"1967","deploracao","N",-1,"N0","MAN"
"1968","deploravel","Adj",-1,"N0","MAN"
"1969","deportado","Adj",-1,"N0","JALC"
"1970","deposto","Adj",-1,"N0","JALC"
"1971","depravacao","N",-1,"N0","MAN"
"1972","depravado","Adj",-1,"N0","MAN"
"1973","depravador","Adj",-1,"N0","MAN"
"1974","depreciado","Adj",-1,"N0","JALC"
"1975","depreciar","V",-1,"N0:N1","MAN"
"1976","depreciativo","Adj",-1,"N0","MAN"
"1977","depressao maniaca","N",-1,"N0","MAN"
"1978","depressao","N",-1,"N0","MAN"
"1979","depressivo","Adj",-1,"N0","MAN"
"1980","depressor","Adj",-1,"N0","JALC"
"1981","deprimencia","N",-1,"N0","MAN"
"1982","deprimente","Adj",-1,"N0","MAN"
"1983","deprimido","Adj",-1,"N0","MAN"
"1984","depurado","Adj",0,"N0","JALC"
"1985","derramado","Adj",-1,"N0","JALC"
"1986","derreado","Adj",-1,"N0","MAN"
"1987","derreamento","N",-1,"N0","MAN"
"1988","derrear","V",1,"N0:N1","MAN"
"1989","derreter","V",1,"N0:N1","MAN"
"1990","derrota","N",-1,"N0","MAN"
"1991","derrotado","Adj",-1,"N0","JALC"
"1992","derrotar","V",1,"N0:N1","MAN"
"1993","derrotismo","N",-1,"N0","MAN"
"1994","derrotista","Adj",-1,"N0","MAN"
"1995","derrubado","Adj",-1,"N0","JALC"
"1996","derrubar","V",1,"N0:N1","MAN"
"1997","desabonado","Adj",-1,"N0","MAN"
"1998","desabrido","Adj",-1,"N0","MAN"
"1999","desabrigado","Adj",-1,"N0","MAN"
"2000","desabusado","Adj",-1,"N0","MAN"
"2001","desacompanhado","Adj",-1,"N0","MAN"
"2002","desacordado","Adj",-1,"N0","JALC"
"2003","desacreditado","Adj",-1,"N0","JALC"
"2004","desacreditar","V",1,"N0:N1","MAN"
"2005","desactualizado","Adj",-1,"N0","JALC"
"2006","desadaptado","Adj",-1,"N0","MAN"
"2007","desafectado","Adj",1,"N0","JALC"
"2008","desafecto","Adj",-1,"N0","JALC"
"2009","desafetado","Adj",1,"N0","JALC"
"2010","desafeto","Adj",-1,"N0","JALC"
"2011","desafiador","Adj",0,"N0","MAN"
"2012","desafiante","Adj",0,"N0","MAN"
"2013","desafinacao","N",-1,"N0","MAN"
"2014","desafinado","Adj",-1,"N0","MAN"
"2015","desafogado","Adj",1,"N0","MAN"
"2016","desaforado","Adj",-1,"N0","MAN"
"2017","desaforido","Adj",-1,"N0","MAN"
"2018","desafortunado","Adj",-1,"N0","MAN"
"2019","desagradado","Adj",-1,"N0","JALC"
"2020","desagradavel","Adj",-1,"N0","MAN"
"2021","desagradecido","Adj",-1,"N0","MAN"
"2022","desagrado","N",-1,"N0","MAN"
"2023","desaire","N",-1,"N0","MAN"
"2024","desairoso","Adj",-1,"N0","MAN"
"2025","desajeitado","Adj",-1,"N0","MAN"
"2026","desajustado","Adj",-1,"N0","JALC"
"2027","desalentado","Adj",-1,"N0","MAN"
"2028","desalento","N",-1,"N0","MAN"
"2029","desalinhado","Adj",-1,"N0","MAN"
"2030","desalinhamento","N",-1,"N0","MAN"
"2031","desalmado","Adj",-1,"N0","MAN"
"2032","desalojado","Adj",-1,"N0","MAN"
"2033","desamparado","Adj",-1,"N0","MAN"
"2034","desamparo","N",-1,"N0","MAN"
"2035","desancar","V",1,"N0:N1","MAN"
"2036","desanimacao","N",-1,"N0","MAN"
"2037","desanimado","Adj",-1,"N0","JALC"
"2038","desanimador","Adj",-1,"N0","MAN"
"2039","desanimo","N",-1,"N0","MAN"
"2040","desapaixonado","Adj",-1,"N0","MAN"
"2041","desaparafusado","Adj",-1,"N0","MAN"
"2042","desaparecer do mapa","IDIOM",-1,"N0","MAN"
"2043","desaparecido","Adj",-1,"N0","JALC"
"2044","desapegado","Adj",-1,"N0","JALC"
"2045","desapiedado","Adj",-1,"N0","MAN"
"2046","desapontado","Adj",-1,"N0","JALC"
"2047","desapontador","Adj",-1,"N0","JALC"
"2048","desapossado","Adj",-1,"N0","JALC"
"2049","desapropriado","Adj",-1,"N0","JALC"
"2050","desaprovador","Adj",-1,"N0","MAN"
"2051","desaproveitado","Adj",-1,"N0","MAN"
"2052","desarmante","Adj",1,"N0","JALC"
"2053","desarmar","V",1,"N0:N1","MAN"
"2054","desarranjado","Adj",-1,"N0","MAN"
"2055","desarrazoado","Adj",-1,"N0","JALC"
"2056","desarrumado","Adj",-1,"N0","JALC"
"2057","desarticulado","Adj",-1,"N0","JALC"
"2058","desassisado","Adj",-1,"N0","JALC"
"2059","desassombrado","Adj",0,"N0","MAN"
"2060","desassossegado","Adj",-1,"N0","MAN"
"2061","desassossego","N",-1,"N0","MAN"
"2062","desastrado","Adj",-1,"N0","MAN"
"2063","desastre","N",-1,"N0","MAN"
"2064","desastroso","Adj",-1,"N0","MAN"
"2065","desatado","Adj",0,"N0","JALC"
"2066","desatento","Adj",-1,"N0","JALC"
"2067","desatinado","Adj",-1,"N0","MAN"
"2068","desatualizado","Adj",-1,"N0","JALC"
"2069","desaustinado","Adj",-1,"N0","MAN"
"2070","desavergonhado","Adj",-1,"N0","MAN"
"2071","desavisado","Adj",-1,"N0","JALC"
"2072","desbaratado","Adj",-1,"N0","JALC"
"2073","desbaratador","Adj",-1,"N0","JALC"
"2074","desbocado","Adj",-1,"N0","MAN"
"2075","desbocamento","N",-1,"N0","MAN"
"2076","desbotado","Adj",-1,"N0","JALC"
"2077","desbragado","Adj",-1,"N0","MAN"
"2078","desbravador","Adj",0,"N0","JALC"
"2079","descabelado","Adj",-1,"N0","MAN"
"2080","descabelar-se","V",-1,"N0","MAN"
"2081","descabelar","V",1,"N0:N1","MAN"
"2082","descabido","Adj",-1,"N0","JALC"
"2083","descadeirado","Adj",-1,"N0","MAN"
"2084","descalabro","N",-1,"N0","MAN"
"2085","descalco","Adj",-1,"N0","MAN"
"2086","descamisado","Adj",-1,"N0","MAN"
"2087","descansado","Adj",0,"N0","JALC"
"2088","descarado","Adj",-1,"N0","MAN"
"2089","descaramento","N",-1,"N0","MAN"
"2090","descarnado","Adj",-1,"N0","MAN"
"2091","descascado","Adj",-1,"N0","MAN"
"2092","descautelado","Adj",-1,"N0","MAN"
"2093","descer ao mais baixo nivel","IDIOM",-1,"N0","MAN"
"2094","descer nas sondagens","IDIOM",-1,"N0","MAN"
"2095","descerimonioso","Adj",1,"N0","MAN"
"2096","descerrado","Adj",-1,"N0","JALC"
"2097","desclassificado","Adj",-1,"N0","JALC"
"2098","descobridor","Adj",0,"N0","JALC"
"2099","descomedido","Adj",-1,"N0","MAN"
"2100","descomedimento","N",-1,"N0","MAN"
"2101","descomplexado","Adj",1,"N0","MAN"
"2102","descomprometido","Adj",0,"N0","MAN"
"2103","descompromissado","Adj",0,"N0","JALC"
"2104","desconcentracao","N",-1,"N0","MAN"
"2105","desconcentrado","Adj",-1,"N0","MAN"
"2106","desconcertado","Adj",-1,"N0","JALC"
"2107","desconexo","Adj",-1,"N0","JALC"
"2108","desconfiado","Adj",-1,"N0","MAN"
"2109","desconfortavel","Adj",-1,"N0","MAN"
"2110","desconhecedor","Adj",-1,"N0","JALC"
"2111","desconsideracao","N",-1,"N0","MAN"
"2112","desconsiderado","Adj",0,"N0","JALC"
"2113","desconsolacao","N",-1,"N0","MAN"
"2114","desconsolado","Adj",-1,"N0","MAN"
"2115","descontentamento","N",-1,"N0","MAN"
"2116","descontente","Adj",-1,"N0","MAN"
"2117","descontraido","Adj",1,"N0","MAN"
"2118","descontrolado","Adj",-1,"N0","MAN"
"2119","descontrolo","N",-1,"N0","MAN"
"2120","descoordenacao","N",-1,"N0","MAN"
"2121","descoordenado","Adj",-1,"N0","MAN"
"2122","descorado","Adj",-1,"N0","MAN"
"2123","descorocoado","Adj",-1,"N0","MAN"
"2124","descortes","Adj",-1,"N0","MAN"
"2125","descortesia","N",-1,"N0","MAN"
"2126","descrente","Adj",0,"N0","MAN"
"2127","descuidado","Adj",-1,"N0","MAN"
"2128","descuido","N",-1,"N0","MAN"
"2129","desculpado","Adj",0,"N0","JALC"
"2130","desculpavel","Adj",0,"N0","JALC"
"2131","desdem","N",-1,"N0","MAN"
"2132","desdenhar","V",-1,"N0:N1","MAN"
"2133","desdenhoso","Adj",-1,"N0","MAN"
"2134","desdentado","Adj",-1,"N0","MAN"
"2135","desdito","Adj",-1,"N0","JALC"
"2136","desditoso","Adj",-1,"N0","MAN"
"2137","desejavel","Adj",1,"N0","JALC"
"2138","deselegancia","N",-1,"N0","MAN"
"2139","deselegante","Adj",-1,"N0","MAN"
"2140","desembaracado","Adj",1,"N0","MAN"
"2141","desemparelhado","Adj",-1,"N0","JALC"
"2142","desempenado","Adj",1,"N0","MAN"
"2143","desempregado","Adj",-1,"N0","MAN"
"2144","desemprego","N",-1,"N0","MAN"
"2145","desencalhado","Adj",0,"N0","MAN"
"2146","desencalhe ","N",-1,"N0","MAN"
"2147","desencaminhado","Adj",-1,"N0","MAN"
"2148","desencaminhador","Adj",-1,"N0","MAN"
"2149","desencaminhamento","N",-1,"N0","MAN"
"2150","desencantado","Adj",0,"N0","JALC"
"2151","desencontrado","Adj",-1,"N0","JALC"
"2152","desengoncado","Adj",-1,"N0","MAN"
"2153","desengracado","Adj",-1,"N0","MAN"
"2154","desenrascado","Adj",1,"N0","MAN"
"2155","desenvencilhado","Adj",1,"N0","MAN"
"2156","desenvolto","Adj",1,"N0","MAN"
"2157","desenvoltura","N",1,"N0","MAN"
"2158","desenxabidez","N",-1,"N0","MAN"
"2159","desenxabido","Adj",-1,"N0","MAN"
"2160","desequilibrado","Adj",-1,"N0","MAN"
"2161","desequilibrio","N",-1,"N0","MAN"
"2162","desertar","V",-1,"N0","MAN"
"2163","desertor","Adj",-1,"N0","JALC"
"2164","desesperado","Adj",-1,"N0","MAN"
"2165","desesperanca","N",-1,"N0","MAN"
"2166","desesperancado","Adj",-1,"N0","MAN"
"2167","desespero","N",-1,"N0","MAN"
"2168","desestabilizador","Adj",-1,"N0","MAN"
"2169","desfalcar","V",-1,"N0:N1","MAN"
"2170","desfalecido","Adj",-1,"N0","JALC"
"2171","desfasado","Adj",-1,"N0","MAN"
"2172","desfavorecido","Adj",-1,"N0","MAN"
"2173","desfeito","Adj",-1,"N0","JALC"
"2174","desfigurado","Adj",-1,"N0","MAN"
"2175","desforrar-se","V",1,"N0:N1","MAN"
"2176","desfrutado","Adj",1,"N0","JALC"
"2177","desgarrado","Adj",-1,"N0","JALC"
"2178","desgastado","Adj",-1,"N0","MAN"
"2179","desgaste","N",-1,"N0","MAN"
"2180","desgosto","N",-1,"N0","MAN"
"2181","desgostoso","Adj",-1,"N0","JALC"
"2182","desgovernacao","N",-1,"N0","MAN"
"2183","desgovernado","Adj",-1,"N0","MAN"
"2184","desgoverno","N",-1,"N0","MAN"
"2185","desgraca","N",-1,"N0","MAN"
"2186","desgracado","Adj",-1,"N0","MAN"
"2187","desgracioso","Adj",-1,"N0","MAN"
"2188","desgrenhado","Adj",-1,"N0","JALC"
"2189","desidratacao","N",-1,"N0","MAN"
"2190","desiludido","Adj",-1,"N0","JALC"
"2191","desimpedido","Adj",0,"N0","MAN"
"2192","desinfeliz","Adj",-1,"N0","MAN"
"2193","desinformacao","N",-1,"N0","MAN"
"2194","desinformado","Adj",-1,"N0","MAN"
"2195","desinibido","Adj",1,"N0","MAN"
"2196","desinstruido","Adj",-1,"N0","MAN"
"2197","desinteressado","Adj",-1,"N0","MAN"
"2198","desinteressante","Adj",-1,"N0","MAN"
"2199","desinteresse","N",-1,"N0","MAN"
"2200","desistir","V",-1,"N0:N1","MAN"
"2201","deslambido","Adj",-1,"N0","JALC"
"2202","deslavado","Adj",-1,"N0","MAN"
"2203","desleal","Adj",-1,"N0","MAN"
"2204","deslealdade","N",-1,"N0","MAN"
"2205","desleixado","Adj",-1,"N0","MAN"
"2206","desleixar-se","V",-1,"N0","MAN"
"2207","desleixo ","N",-1,"N0","MAN"
"2208","desligado","Adj",-1,"N0","JALC"
"2209","deslocado","Adj",-1,"N0","JALC"
"2210","deslumbrante","Adj",1,"N0","MAN"
"2211","deslumbrar","V",1,"N0:N1","MAN"
"2212","desmaiado","Adj",-1,"N0","JALC"
"2213","desmanchado","Adj",-1,"N0","JALC"
"2214","desmantelado","Adj",-1,"N0","JALC"
"2215","desmascarar","V",1,"N0:N1","MAN"
"2216","desmazelado","Adj",-1,"N0","MAN"
"2217","desmazelamento","N",-1,"N0","MAN"
"2218","desmazelo","N",-1,"N0","MAN"
"2219","desmedido","Adj",-1,"N0","JALC"
"2220","desmemoriado","Adj",-1,"N0","JALC"
"2221","desmentido","Adj",-1,"N0","JALC"
"2222","desmentir","V",0,"N0:N1","MAN"
"2223","desmesurado","Adj",-1,"N0","JALC"
"2224","desmiolado","Adj",-1,"N0","MAN"
"2225","desmontado","Adj",-1,"N0","JALC"
"2226","desmoralizacao","N",-1,"N0","MAN"
"2227","desmoralizado","Adj",-1,"N0","MAN"
"2228","desmoralizador","Adj",-1,"N0","MAN"
"2229","desmoronar-se","V",-1,"N0","MAN"
"2230","desmotivacao","N",-1,"N0","MAN"
"2231","desmotivado","Adj",-1,"N0","MAN"
"2232","desmotivador","Adj",-1,"N0","MAN"
"2233","desnaturado","Adj",-1,"N0","MAN"
"2234","desnaturalizado","Adj",0,"N0","MAN"
"2235","desnorteado","Adj",-1,"N0","MAN"
"2236","desnorteamento","N",-1,"N0","MAN"
"2237","desnudado","Adj",0,"N0","MAN"
"2238","desnudo","Adj",0,"N0","MAN"
"2239","desnutricao","N",-1,"N0","MAN"
"2240","desobediencia","N",-1,"N0","MAN"
"2241","desobediente","Adj",-1,"N0","MAN"
"2242","desobrigado","Adj",0,"N0","JALC"
"2243","desocupado","Adj",-1,"N0","JALC"
"2244","desolacao","N",-1,"N0","MAN"
"2245","desolado","Adj",-1,"N0","MAN"
"2246","desolador","Adj",-1,"N0","MAN"
"2247","desolhado","Adj",-1,"N0","MAN"
"2248","desonestidade","N",-1,"N0","MAN"
"2249","desonesto","Adj",-1,"N0","MAN"
"2250","desonra","N",-1,"N0","MAN"
"2251","desonrado","Adj",-1,"N0","JALC"
"2252","desonrar","V",-1,"N0:N1","MAN"
"2253","desonroso","Adj",-1,"N0","MAN"
"2254","desordeiro","Adj",-1,"N0","MAN"
"2255","desordem","N",-1,"N0","MAN"
"2256","desordenado","Adj",-1,"N0","JALC"
"2257","desorganizacao","N",-1,"N0","MAN"
"2258","desorganizado","Adj",-1,"N0","MAN"
"2259","desorientacao","N",-1,"N0","MAN"
"2260","desorientado","Adj",-1,"N0","MAN"
"2261","despachado","Adj",1,"N0","MAN"
"2262","despassarado","Adj",-1,"N0","JALC"
"2263","despegado","Adj",0,"N0","JALC"
"2264","despeitado","Adj",-1,"N0","MAN"
"2265","despeitar","V",-1,"N0:N1","MAN"
"2266","despeito","N",-1,"N0","MAN"
"2267","despeitorado","Adj",-1,"N0","MAN"
"2268","despejado","Adj",-1,"N0","JALC"
"2269","despenteado","Adj",-1,"N0","MAN"
"2270","despercebido","Adj",-1,"N0","JALC"
"2271","desperdicado","Adj",-1,"N0","JALC"
"2272","desperdicador","Adj",-1,"N0","MAN"
"2273","desperto","Adj",1,"N0","JALC"
"2274","despesista","Adj",-1,"N0","MAN"
"2275","despirocado","Adj",-1,"N0","JALC"
"2276","despistado","Adj",-1,"N0","MAN"
"2277","desplante","N",-1,"N0","MAN"
"2278","despojado","Adj",0,"N0","JALC"
"2279","despotico","Adj",-1,"N0","MAN"
"2280","despregado","Adj",-1,"N0","JALC"
"2281","desprendido","Adj",0,"N0","MAN"
"2282","despreocupacao","N",-1,"N0","MAN"
"2283","despreocupado","Adj",0,"N0","MAN"
"2284","despretensioso","Adj",1,"N0","MAN"
"2285","desprevencao","N",-1,"N0","MAN"
"2286","desprevenido","Adj",-1,"N0","MAN"
"2287","desprezado","Adj",-1,"N0","JALC"
"2288","desprezavel","Adj",-1,"N0","JALC"
"2289","desprezivel","Adj",-1,"N0","MAN"
"2290","desprezo","N",-1,"N0","MAN"
"2291","desprimoroso","Adj",-1,"N0","MAN"
"2292","desproporcionado","Adj",-1,"N0","JALC"
"2293","despropositado","Adj",-1,"N0","MAN"
"2294","desproposito","N",-1,"N0","MAN"
"2295","desprotegido","Adj",-1,"N0","MAN"
"2296","despudor","N",-1,"N0","MAN"
"2297","despudorado","Adj",-1,"N0","MAN"
"2298","desqualificado","Adj",-1,"N0","JALC"
"2299","desregrado","Adj",-1,"N0","MAN"
"2300","desregulado","Adj",-1,"N0","JALC"
"2301","desremediado","Adj",-1,"N0","MAN"
"2302","desrespeitado","Adj",-1,"N0","JALC"
"2303","desrespeitador","Adj",-1,"N0","MAN"
"2304","desrespeitar","V",-1,"N0:N1","MAN"
"2305","desrespeito","N",-1,"N0","MAN"
"2306","desrespeitoso","Adj",-1,"N0","MAN"
"2307","destabilizador","Adj",-1,"N0","MAN"
"2308","destampado","Adj",-1,"N0","JALC"
"2309","destapado","Adj",-1,"N0","JALC"
"2310","destemido","Adj",1,"N0","MAN"
"2311","destemperado","Adj",-1,"N0","JALC"
"2312","desterrado","Adj",-1,"N0","JALC"
"2313","destoante","Adj",-1,"N0","MAN"
"2314","destrambelhado","Adj",-1,"N0","MAN"
"2315","destrambelhamento","N",-1,"N0","MAN"
"2316","destratado","Adj",-1,"N0","JALC"
"2317","destravado","Adj",-1,"N0","MAN"
"2318","destrocado","Adj",-1,"N0","MAN"
